"poll_house","end_date","Tymoshenko","Poroshenko","Zelensky","Grytsenko","Boyko","Lyashko","Sadovy","Undecided","MoE","sigma"
"Рейтинг",2017-11-30,12.1,10.6,NA,6.4,5.4,6.2,3.5,23.3,2.2,1.1
"КМІС",2017-12-14,10.2,8.4,NA,6.4,4.7,4.5,4.2,54.2,3.3,1.65
"Демініціативи та Центр Разумкова",2017-12-19,12.2,10.3,NA,7.9,5.2,6.1,4.9,19.4,2.3,1.15
"Рейтинг",2017-12-28,15.2,12.7,NA,7.8,9.5,7,5.2,19,0.6,0.3
"КМІС",2018-02-21,12.5,5,NA,6.4,5,7.9,2.6,48.9,3.3,1.65
"ІАП, УІСД, Соцмоніторинг",2018-03-18,15.6,10.3,NA,8,7.9,7.7,5.6,20.3,2.2,1.1
"КМІС",2018-04-19,10,7.5,6.6,7.8,5.4,7.6,2,38.1,3.3,1.65
"Рейтинг",2018-04-22,11.2,7.3,6.5,8.6,7.4,6.6,2.6,21.5,1.5,0.75
"СОЦІС",2018-04-25,10.4,9.2,NA,9,7.6,5.7,2.7,23.5,2,1
"СОЦІС",2018-05-22,10.7,9.7,7.6,8,6.4,5.5,3.2,22.1,2,1
"Демініціативи та Центр Разумкова",2018-05-25,13.3,7.6,5,9.4,8.4,7.4,3.5,14.6,2.3,1.15
"КМІС",2018-06-21,12.7,5.6,5.4,8.2,6.7,7,1.6,34.7,3.3,1.65
"Рейтинг",2018-06-24,13.2,7.1,7.7,9.8,8.7,7.2,2.8,16.5,2,1
"Рейтинг",2018-07-05,13.5,6.2,6.7,7.7,7.1,6.4,1.8,21,1.7,0.85
"GfK Ukraine",2018-07-08,12.3,6.2,8.6,7.4,6.2,6.2,1.2,28.4,1.9,0.95
"УІСД та Соцмоніторинг",2018-07-27,15.2,6.2,NA,11.1,9.3,7.7,3.5,25,2.1,1.05
"Рейтинг",2018-08-03,14.4,6.8,6.5,8.7,7.2,6.9,1.9,18.8,2.2,1.1
"Демініціативи та Центр Разумкова",2018-08-22,17.8,7.9,6.1,8.4,6.4,5.8,2.6,15.5,2.3,1.15
"КМІС, Соціс, Центр Разумкова",2018-09-09,12.9,8.4,7.9,7.5,7.1,5.2,2.2,27.5,2.3,1.15
"ІАП, УІСД, Соцмоніторинг",2018-09-18,15.1,8.3,7.2,8.7,6.4,6.3,3.5,15.9,2.2,1.1
"Рейтинг",2018-09-18,15.1,7.8,8.9,7.6,6.5,5.9,2.7,19.5,2,1
"КМІС",2018-09-23,12.8,7.9,7.9,7.2,5.3,4.5,2.8,33.7,3.3,1.65
"IRI",2018-10-14,16.7,9.8,9.8,8.8,7.8,4.9,2,16.7,2,1
"Соцмоніторинг, УІСД, КМІС, Рейтинг",2018-10-16,15.3,8,8.7,8,7.9,6.5,2.9,19.1,0.9,0.45
"КМІС, Рейтинг, Центр Разумкова",2018-11-02,16,8,8.8,7.7,6.8,5.9,2.2,22.6,1.1,0.55
"КМІС",2018-12-03,13.1,7.2,9,5.1,6.8,5.4,1.4,38.3,2.8,1.4
"Рейтинг",2018-12-10,16.4,8.8,10.6,6.2,7.6,5.2,2.2,20.9,0.5,0.25
"УІСД та Соцмоніторинг",2018-12-10,16.8,9.2,10,9.8,9.4,6.9,4.6,16,2.1,1.05
"КМІС",2018-12-14,12.6,7.4,11.6,5.9,6.8,7.7,1.9,31.2,2.8,1.4
"СОЦІС",2018-12-18,14.4,10.8,9.4,7.2,6,7.1,3.4,25.3,2.4,1.2
"ІАП, Соціопрогноз",2018-12-18,19.5,10.4,NA,10.1,10.4,8.6,5.1,20.6,2.2,1.1
"УІСД та Соцмоніторинг",2018-12-22,15.5,8.9,12.5,9.4,9.8,6.9,3.9,15.4,2.2,1.1
"Демініціативи та Центр Разумкова",2018-12-25,16.1,13.8,8.8,6.8,8.4,6.9,2.4,16.4,2.3,1.15
"Рейтинг-IRI",2018-12-27,16,11,11,8,9,7,2,17,2,1
"ІАП, Соціопрогноз",2019-01-04,16.1,9.4,10.7,9.2,9.7,7.6,3.7,16.8,2.3,1.15
"Рейтинг",2019-01-24,15.6,12.9,16.2,7.3,8.6,6,2.3,14.4,1.3,0.65
"ІАП, Соціопрогноз",2019-01-25,16.4,9.6,10.2,8.7,9.6,7.3,3.8,18.8,2.4,1.2
"Соціс, КМІС, Центр Разумкова",2019-01-29,11.8,12.3,17.3,6.1,7,5,2.6,24.8,0.9,0.45
"Соцмоніторинг, УІСД, Інфосапієнс, Рейтинг",2019-01-30,15.1,11.7,17.2,6.6,8.2,5.1,1.9,21.4,1,0.5
"КМІС",2019-02-10,10.2,11.5,17.5,3.9,6.4,4.3,1.5,35.2,2.8,1.4
"Центр Разумкова",2019-02-14,13.8,16.8,19,7.3,7.1,4.8,2.2,15,2.3,1.15
"СОЦІС",2019-02-18,12.3,14.9,19.1,5.3,8.3,5,2.5,22.5,2.1,1.05
"КМІС",2019-02-20,8,10.5,15.4,3.7,6.3,3.7,1.4,33.3,2.8,1.4
"УІСД, Соцмоніторинг",2019-02-23,14.9,14.4,21.6,6.9,8.6,4.9,3.2,12.7,2.2,1.1
"Рейтинг",2019-02-28,12.3,12.6,19.1,5.9,8.6,4.3,2.3,24.1,2,1
"Рейтинг",2019-03-07,13.5,12.3,18.2,7.6,7.3,4.2,NA,26.5,1.5,0.75
"СОЦІС",2019-03-10,11,13.2,20.7,5.8,6.5,3.5,NA,28.6,2.1,1.05
"КМІС, Рейтинг, Центр Разумкова",2019-03-14,12.9,12.7,21.6,7.5,6.5,4.1,NA,22.3,0.8,0.4
"СОЦІС",2019-03-14,9.5,13.25,20.46,6.2,6.88,4,NA,30.96,2.1,1.05
"Рейтинг",2019-03-15,16,14.8,21.2,8,8.7,5,NA,14.8,2,1
"ІАП, Соціопрогноз",2019-03-16,15.9,14.7,22.7,7.5,11.8,4.1,NA,14.4,2.2,1.1
"УІСД, Соцмоніторинг",2019-03-18,14.8,12.8,25.2,9.1,8.9,5,NA,14.3,2.2,1.1
"КМІС",2019-03-22,8.1,11,20.7,4.5,6.7,3.3,NA,26.2,2.8,1.4
"СОЦІС",2019-03-25,8.7,14.8,24.6,6.4,7.9,5.3,NA,20.3,2.1,1.05
"УІСД, Соцмоніторинг",2019-03-26,13.7,13.1,24.9,7.7,7.2,4.9,NA,14.3,1.68,0.84
"Демініціативи, КМІС",2019-03-26,9.7,13.7,20.9,6.3,8.4,4,NA,24.3,3.2,1.6
"Центр Разумкова",2019-03-26,12.6,18.9,21.2,7,8.5,5.1,NA,14.6,2.3,1.15
"Рейтинг",2019-03-27,14.6,14.6,22.6,8.3,8.1,4.6,NA,15.1,1.8,0.9
